Lon,Lat,Region,Year,BarySL,GIA_Field_KS,IBAint,SDSL,SL_multi,Reconstruction
-70.375,42.875,4,1955,-0.04155754837057649,-0.07272454521384342,0.002260868290405263,0.012062579949827231,-0.027234100130344083,-0.0999586453441874
-70.375,42.875,4,1956,-0.04407857805450525,-0.07162265816514912,9.543771423342897e-5,0.017178395522074723,-0.026804744818197095,-0.09842740298334621
-70.375,42.875,4,1957,-0.042471328713113134,-0.07052077111645438,-5.154802349853176e-4,0.0011082647282161639,-0.04187854421988242,-0.11239931533633667
-70.375,42.875,4,1958,-0.03759217194021748,-0.06941888406775965,0.023660216073608305,0.010262353173689238,-0.0036696026929199633,-0.07308848676067958
-70.375,42.875,4,1959,-0.03835388564599973,-0.06831699701906535,-0.003360318408813486,-0.0016099188260705096,-0.043324122880883664,-0.11164111989994907
-70.375,42.875,4,1960,-0.03705135504381344,-0.06721510997037061,0.010586457001342807,0.01180766977619091,-0.014657228266279793,-0.08187233823665033
-70.375,42.875,4,1961,-0.03709656229066245,-0.06611322292167587,0.002845993329467782,0.0088991175791885,-0.02535145138200619,-0.09146467430368205
-70.375,42.875,4,1962,-0.036762271757911004,-0.06501133587298158,-0.0024649498345946574,0.011288529769519882,-0.027938691822985803,-0.09295002769596734
-70.375,42.875,4,1963,-0.037168384347564226,-0.06390944882428684,0.009156569628295945,0.010752929180171625,-0.017258885539096776,-0.0811683343633835
-70.375,42.875,4,1964,-0.03582051089835572,-0.0628075617755921,-0.0018178602838136056,0.005491904955914599,-0.0321464662262547,-0.09495402800184682
-70.375,42.875,4,1965,-0.03478427718574674,-0.061705674726897364,-0.0036604342193603304,0.004080957590730693,-0.03436375381437639,-0.09606942854127373
-70.375,42.875,4,1966,-0.035033722558104545,-0.06060378767820307,-0.002043204180297737,0.012807063505266874,-0.024269863233135507,-0.08487365091133849
-70.375,42.875,4,1967,-0.035142072755056465,-0.05950190062950833,-0.013933630518188456,0.01676982143222993,-0.032305881841015065,-0.09180778247052332
-70.375,42.875,4,1968,-0.03282481316818446,-0.05840001358081359,0.004754555341186427,0.007166709539419032,-0.020903548287578993,-0.0793035618683926
-70.375,42.875,4,1969,-0.02923144098167651,-0.0572981265321193,0.012142556386108446,0.019731776523571595,0.0026428919280034628,-0.05465523460411577
-70.375,42.875,4,1970,-0.0306122717095413,-0.05619623948342456,-6.011408697509648e-4,0.029057285468748213,-0.002156127110544089,-0.05835236659396861
-70.375,42.875,4,1971,-0.031134396896953537,-0.05509435243472982,0.0023835505755614604,0.024296560822660556,-0.004454285498731504,-0.05954863793346134
-70.375,42.875,4,1972,-0.02942854380920371,-0.053992465386035526,-0.012364440381469777,0.0392789775266563,-0.0025140066640171204,-0.05650647205005271
-70.375,42.875,4,1973,-0.03008733929097798,-0.05289057833734079,0.0024499434368896395,0.01846297447054615,-0.009174421383542169,-0.062064999720882974
-70.375,42.875,4,1974,-0.03429338700800108,-0.05178869128864605,0.0015302148919677245,0.021942477563118984,-0.01082069455291445,-0.06260938584156042
-70.375,42.875,4,1975,-0.03202013690217121,-0.050686804239951755,-0.005968438223266623,0.031111991846445513,-0.006876583278992325,-0.05756338751894406
-70.375,42.875,4,1976,-0.031577064984891524,-0.049584917191257016,0.013062535897827078,0.014981753216904847,-0.0035327758701596806,-0.05311769306141661
-70.375,42.875,4,1977,-0.030812750700100245,-0.04848303014256228,0.012986679159545808,0.018560901099221545,7.348295586670873e-4,-0.047748200583895166
-70.375,42.875,4,1978,-0.03189702033755044,-0.04738114309386754,0.002128544022827152,0.03365755001145437,0.0038890736967310833,-0.04349206939713645
-70.375,42.875,4,1979,-0.030003461667395388,-0.046279256045173245,4.541907025146183e-4,0.02413231589551472,-0.0054169550693660435,-0.05169621111453929
-70.375,42.875,4,1980,-0.029403039527581425,-0.045177368996478506,0.012621741054077143,0.006262202826040509,-0.01051909564746376,-0.05569646464394228
-70.375,42.875,4,1981,-0.02862523427822098,-0.04407548194778377,0.019237290585327183,0.018413193466510682,0.009025249773616897,-0.035050232174166876
-70.375,42.875,4,1982,-0.028350628145134393,-0.04297359489908947,-0.009347900440063485,0.01958418173883893,-0.018114346846358924,-0.06108794174544842
-70.375,42.875,4,1983,-0.025060877218699307,-0.041871707850394735,0.00905110690368646,0.05230463999124442,0.03629486967623154,-0.005576838174163157
-70.375,42.875,4,1984,-0.02515349759209089,-0.040769820801699996,-0.0037827198150634346,0.03587125014340937,0.006935032736255112,-0.03383478806544495
-70.375,42.875,4,1985,-0.025971613203009055,-0.0396679337530057,0.0038756534271239497,0.01272209703763223,-0.009373862738252867,-0.04904179649125858
-70.375,42.875,4,1986,-0.02421194699040199,-0.03856604670431096,-0.007536754024047874,0.024103306446199308,-0.0076453945682506,-0.04621144127256152
-70.375,42.875,4,1987,-0.02240891152627899,-0.037464159655616225,0.003560131493530278,0.02863228305401774,0.009783503021269032,-0.027680656634347194
-70.375,42.875,4,1988,-0.021851451784623582,-0.03636227260692193,0.004639895897827141,0.01814874764249553,9.371917556991189e-4,-0.03542508085122284
-70.375,42.875,4,1989,-0.022191990981171836,-0.03526038555822719,-0.009426210176391692,0.021411673183451895,-0.010206527974111618,-0.045466913532338823
-70.375,42.875,4,1990,-0.021594880163382197,-0.03415849850953245,-0.0063016006939695945,0.01354321387659175,-0.014353266980760036,-0.04851176549029249
-70.375,42.875,4,1991,-0.01955603131293694,-0.033056611460837715,-0.005516608936157176,0.031062940554737063,0.005990300305642959,-0.027066311155194773
-70.375,42.875,4,1992,-0.01694876422729532,-0.03195472441214342,-5.068583111572211e-4,0.035387827751239546,0.017932205212787006,-0.014022519199356417
-70.375,42.875,4,1993,-0.017479377909645537,-0.030852837363448682,-0.0034735934869385083,0.03155304409328473,0.010600072696700592,-0.020252764666747997
-70.375,42.875,4,1994,-0.017911594471853785,-0.029750950314753943,-0.004721886143188447,0.024539454926364376,0.001905974311322166,-0.027844976003431797
-70.375,42.875,4,1995,-0.015584850492717635,-0.02864906326605965,0.00398670218688968,0.026292345195598383,0.014694196889770432,-0.013954866376289222
-70.375,42.875,4,1996,-0.013385203114121204,-0.02754717621736491,-6.968563677978358e-4,0.059562267770553096,0.04548020828863412,0.017933032071269145
-70.375,42.875,4,1997,-0.01552708579261872,-0.026445289168670172,0.014124263075561538,0.06491459842035999,0.06351177570330283,0.03706648653463264
-70.375,42.875,4,1998,-0.014165918088838662,-0.025343402119975877,0.011609065741577058,0.06585366477736908,0.06329681243010751,0.0379534103101316
-70.375,42.875,4,1999,-0.013773597914806632,-0.02424151507128114,-1.667158264173247e-5,0.058468183034499535,0.04467791353705108,0.020436398465770035
-70.375,42.875,4,2000,-0.014442346729779017,-0.0231396280225864,0.0014075164154052962,0.045803823873889905,0.032768993559516055,0.009629365536929786
-70.375,42.875,4,2001,-0.011553057028082877,-0.022037740973892106,-0.007518506309204211,0.04831906424011411,0.029247500902827125,0.007209759928934918
