Process,Lon,Lat,Year,m_se
Sterodynamic,-70.375,42.875,1988,0.013574307446423836
Sterodynamic,-70.375,42.875,1989,0.012325652671124192
Sterodynamic,-70.375,42.875,1990,0.011898526574299103
Sterodynamic,-70.375,42.875,1991,0.011299756352044643
Sterodynamic,-70.375,42.875,1992,0.011217322393340482
Sterodynamic,-70.375,42.875,1993,0.010841170199969373
Sterodynamic,-70.375,42.875,1994,0.010962604140457842
Sterodynamic,-70.375,42.875,1995,0.011110379091682207
Sterodynamic,-70.375,42.875,1996,0.010385410164702963
Sterodynamic,-70.375,42.875,1997,0.010245546244047318
Sterodynamic,-70.375,42.875,1998,0.010063126642886002
Sterodynamic,-70.375,42.875,1999,0.009583048734689997
Sterodynamic,-70.375,42.875,2000,0.01015274153251364
Sterodynamic,-70.375,42.875,2001,0.009779129338336433
Sterodynamic,-70.375,42.875,2002,0.009586911666658546
Sterodynamic,-70.375,42.875,2003,0.00906073353766843
Sterodynamic,-70.375,42.875,2004,0.009114746815053998
Sterodynamic,-70.375,42.875,2005,0.008301878506536966
Sterodynamic,-70.375,42.875,2006,0.008590996676275265
Sterodynamic,-70.375,42.875,2007,0.008000833179542052
Sterodynamic,-70.375,42.875,2008,0.007994949989075567
Sterodynamic,-70.375,42.875,2009,0.007580964662203213
Sterodynamic,-70.375,42.875,2010,0.007886005139318293
Sterodynamic,-70.375,42.875,2011,0.008758416577059754
Sterodynamic,-70.375,42.875,2012,0.00764071563071798
Sterodynamic,-70.375,42.875,2013,0.007277475704845034
Sterodynamic,-70.375,42.875,2014,0.006167328688022912
Sterodynamic,-70.375,42.875,2015,0.005765580776541458
Sterodynamic,-70.375,42.875,2016,0.00560997626843301
Sterodynamic,-70.375,42.875,2017,0.005409150834649227
Sterodynamic,-70.375,42.875,2018,0.0051097172745466326
Sterodynamic,-70.375,42.875,2019,0.005223916130418643
Sterodynamic,-70.375,42.875,2020,0.007285660104637435
Sterodynamic,-70.375,42.875,2021,0.004703648096561199
SL_multi,-70.375,42.875,1880,0.0316684917585727
SL_multi,-70.375,42.875,1881,0.03108291989622417
SL_multi,-70.375,42.875,1882,0.030917550696964585
SL_multi,-70.375,42.875,1883,0.0307729937343728
SL_multi,-70.375,42.875,1884,0.030371792085592125
SL_multi,-70.375,42.875,1885,0.030447397291387644
SL_multi,-70.375,42.875,1886,0.030065486980665548
SL_multi,-70.375,42.875,1887,0.029508619849105883
SL_multi,-70.375,42.875,1888,0.029571890978072484
SL_multi,-70.375,42.875,1889,0.02935660072389964
SL_multi,-70.375,42.875,1890,0.029079751444127985
SL_multi,-70.375,42.875,1891,0.029241108178744948
SL_multi,-70.375,42.875,1892,0.0291423667769063
SL_multi,-70.375,42.875,1893,0.028650640211698882
SL_multi,-70.375,42.875,1894,0.02859040600689588
SL_multi,-70.375,42.875,1895,0.02827938120628773
SL_multi,-70.375,42.875,1896,0.028203896768114148
SL_multi,-70.375,42.875,1897,0.028546994541945876
SL_multi,-70.375,42.875,1898,0.027566602241549054
