CCAR's Altimetry Explorer
https://ccar.colorado.edu/altimetry/
ALTIMETRY INFORMATION
lat,-14.25
lon,-170.75
Source,JPL SSHA Grids v1812

TIDEGAUGE INFORMATION
lat,-14.282999992370605
lon,189.31700134277344
code,56
location,Pago Pago
Source,UHSLC FD + RQ data


Altimetry,,,Tide Gauge
time,sla (cm),,time,sla (cm)
1997.52977412731,-2.1437300632564393,,1997.52977412731,-8.079744348452632
1997.5434633812458,-1.7016321379460981,,1997.5434633812458,-7.7015860594990215
1997.5571526351814,-1.1985869519980157,,1997.5571526351814,-7.0306982851762445
1997.570841889117,-0.8292953655015762,,1997.570841889117,-6.7350901326513
1997.5845311430528,-0.7019739778317938,,1997.5845311430528,-6.6904911496044
1997.5982203969884,-0.7251799670971532,,1997.5982203969884,-6.549606724090223
1997.611909650924,-0.78307223130098,,1997.611909650924,-6.272910617461889
1997.6255989048598,-0.7402519974236856,,1997.6255989048598,-6.182512480719821
1997.6392881587954,-0.5939780830262712,,1997.6392881587954,-6.3006382596443835
1997.652977412731,-0.4647580246350367,,1997.652977412731,-6.641953772628152
1997.6666666666667,-0.494495282391005,,1997.6666666666667,-6.8674233682464205
